;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Slovenia;0.4561;0.4619;0.4759;0.4754;0.4415;0.5001;0.5175;0.5216;0.5090;;;;;;;;;;;;;;;5.0000
Solomon Islands;0.3622;0.3442;0.3867;0.3619;0.3569;0.2409;0.1651;0.2007;0.2641;0.3093;0.3407;0.3614;0.4165;0.4430;0.3930;0.4933;0.5811;0.5971;0.5293;0.5076;0.4507;0.4507;0.4507;5.0000
South Africa;0.2214;0.2408;0.2399;0.2501;0.2470;0.2716;0.2937;0.3178;0.2689;0.2547;0.2645;0.2927;0.3117;0.3562;0.2791;0.2862;0.3046;0.2972;0.3097;0.3147;0.3016;0.3070;0.2977;5.0000
Spain;;;;;;;;;;;;;;;;;;;;;;;;5.0000
Sri Lanka;0.3560;0.3497;0.3654;0.3624;0.3548;0.3902;0.3733;0.3491;0.3465;0.3533;0.3234;0.3013;0.2911;0.2484;0.2133;0.1955;0.2090;0.1982;0.2032;0.2109;0.2101;0.2117;0.2168;5.0000
St Kitts and Nevis;0.3780;0.3822;0.3747;0.3787;0.3595;0.3463;0.3219;0.3086;0.3400;0.3665;0.3923;0.3586;0.3219;0.2968;0.2302;0.2767;0.3192;0.3482;0.3824;0.5918;0.5673;0.5407;0.5407;5.0000
St Lucia;0.5638;0.5004;0.4974;0.4896;0.4632;0.4494;0.4097;0.3957;0.4402;0.4494;0.5167;0.3880;0.3573;0.4166;0.4254;0.4352;0.3966;0.4199;0.4103;0.4070;0.3822;0.3629;0.3629;5.0000
St Vincent and the Grenadines;0.4314;0.4502;0.4266;0.4213;0.4535;0.4528;0.4091;0.3861;0.3588;0.3535;0.3641;0.3470;0.3101;0.3022;0.2849;0.2689;0.2704;0.2717;0.2608;0.3474;0.3783;0.3779;0.3523;5.0000
Suriname;0.5257;0.5256;0.5254;0.5253;0.5252;0.5251;0.5250;0.5249;0.5247;0.5246;0.5245;0.5275;0.5413;0.5691;0.4412;0.5255;0.5255;0.5255;0.5255;0.5255;0.5255;0.5255;0.5255;5.0000
Sweden;;;;;;;;;;;;;;;;;;;;;;;;5.0000
Switzerland;0.4068;0.4174;0.4724;0.4670;0.4741;0.5212;0.5089;0.4894;0.4811;0.5147;0.5379;0.5649;0.6130;0.6266;0.5723;0.6397;0.6547;0.6703;0.7192;0.6427;0.6222;0.6584;0.6491;5.0000
Taiwan;;;;;;;;0.5081;0.5402;0.5994;0.6061;0.6579;0.6974;0.7019;0.6038;0.7092;0.7280;0.7044;0.6946;0.6987;0.6425;0.6259;0.5780;5.0000
Tajikistan;;;;;;;;;;;;;;;;;;;0.1109;0.0917;0.1049;0.1294;0.1572;5.0000
Tanzania;0.2407;0.1994;0.1622;0.1003;0.1016;0.1081;0.1383;0.1428;0.1509;0.1604;0.1698;0.1841;0.1983;0.1946;0.1819;0.1961;0.2163;0.2237;0.1901;0.1807;0.1710;0.1635;0.1514;5.0000
Thailand;0.4153;0.3902;0.4824;0.5794;0.5644;0.6484;0.6325;0.6065;0.6152;0.6597;0.6840;0.6868;0.6887;0.7142;0.6444;0.6649;0.7085;0.6976;0.6812;0.6927;0.6872;0.6839;0.6818;5.0000
Togo;0.3244;0.3328;0.2898;0.2969;0.2887;0.2990;0.3041;0.3170;0.3438;0.3311;0.3714;0.3582;0.2557;0.3392;0.3453;0.3720;0.3830;0.4659;0.4979;0.4366;0.4129;0.3573;0.3325;5.0000
Tonga;;;;;;;;;;;;;0.1215;0.1573;0.1337;0.1241;0.1591;0.1701;0.2035;0.1682;0.1702;0.2131;0.2145;5.0000
Tunisia;0.4490;0.4211;0.3911;0.3852;0.3798;0.3955;0.4282;0.4078;0.3948;0.4222;0.4493;0.4603;0.5109;0.5566;0.4504;0.4950;0.4853;0.4855;0.4697;0.4492;0.4010;0.4000;0.4354;5.0000
Turkey;0.1989;0.2154;0.2458;0.2057;0.1858;0.1945;0.2658;0.2446;0.2224;0.2275;0.2102;0.2165;0.2122;0.2283;0.2257;0.2045;0.2226;0.2367;0.2227;0.2376;0.2335;0.2197;0.2480;5.0000
Uganda;0.1179;0.1196;0.1336;0.0964;0.1225;0.1065;0.1152;0.1121;0.1139;0.1270;0.1418;0.1528;0.1673;0.2428;0.1727;0.1713;0.1902;0.2022;0.2030;0.1817;0.1844;0.1854;0.1814;5.0000
Ukraine;;;;;;;;;;;;;;0.4443;0.4391;0.4705;0.4982;0.4772;0.4296;0.4859;0.5260;0.4930;0.4801;5.0000
United Arab Emirates;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.4916;0.4950;0.5592;0.6357;0.6759;0.6863;0.7238;0.7887;0.7965;0.7774;0.8978;1.0032;1.0063;0.9912;1.0087;1.0100;1.0038;5.0000
United Kingdom;;;;;;;;;;;;;;;;;;;;;;;;5.0000
United States;0.1064;0.1075;0.1112;0.1052;0.1031;0.1069;0.0968;0.0913;0.0904;0.0964;0.1001;0.1066;0.1149;0.1249;0.1095;0.1232;0.1353;0.1353;0.1354;0.1353;0.1243;0.1185;0.1206;5.0000
Uruguay;0.1900;0.1967;0.1746;0.1642;0.1510;0.1670;0.1680;0.2062;0.2743;0.3211;0.3040;0.3030;0.2909;0.3020;0.2710;0.2634;0.2642;0.2592;0.2335;0.2354;0.2248;0.2143;0.2143;5.0000
Vanuatu;;;;;;;;;;;;;;;;;;0.4909;0.4782;0.4856;0.4856;0.4856;0.4856;5.0000
Venezuela;0.2623;0.3533;0.2926;0.2092;0.2291;0.2974;0.2274;0.3043;0.3385;0.3620;0.3966;0.3652;0.3113;0.3082;0.1807;0.2853;0.2994;0.2617;0.2476;0.1669;0.1669;0.1669;0.1669;5.0000
Vietnam;;;;;;;;;;;;;0.7052;0.7034;0.6261;0.7200;0.7939;0.8003;0.8363;0.8640;0.8978;0.9362;1.0159;5.0000
Zambia;0.3290;0.2848;0.2737;0.2462;0.2504;0.2392;0.2511;0.2713;0.2568;0.3354;0.3061;0.3259;0.3359;0.2892;0.2925;0.3703;0.4047;0.4008;0.4048;0.3882;0.3714;0.3532;0.3515;5.0000
Zimbabwe;0.3824;0.3613;0.3760;0.4339;0.3741;0.3816;0.3496;0.3183;0.3240;0.3447;0.3355;0.3596;0.3779;0.4147;0.1948;0.2964;0.3480;0.2516;0.2199;0.2093;0.1916;0.1994;0.1899;5.0000
