;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Mozambique;2521738759.59;3523842274.90;4227273069.06;4873242526.06;5302532113.25;5016469068.51;4766928746.69;5031510908.86;5597367853.40;6831808930.40;7723846194.87;8312078525.09;9366742309.49;11494837053.41;10911698204.47;10154238250.18;13131168011.81;15265269710.64;16018848993.99;16961117243.49;14798413628.46;10896894351.39;12651912500.41;1.0000
Myanmar;;;;;;8905066163.59;6477790688.23;6777632512.08;10467109977.67;10567354056.40;11986972418.51;14502553709.83;20182477480.55;31862554101.94;36906181380.81;49540813342.48;59977326085.99;59937797559.33;60269734044.53;65446199787.84;59687410896.57;63256184700.22;66719084835.99;1.0000
Namibia;3942478205.73;3945340776.41;4102648719.62;3826527630.56;3818954447.99;3833993702.99;3476452446.22;3275669889.10;4811994024.88;6480441754.26;7121391945.65;7835043624.01;8740865600.25;8486721916.91;8876191120.76;11282192605.04;12409629835.70;13016272898.90;12717790504.50;12786078008.24;11650656642.27;11286139080.01;13566192142.58;1.0000
Nepal;;;;;;;;;;7273938314.72;8130258041.47;9043715355.89;10325618017.38;12545438605.40;12854985464.08;16002656434.47;18913574370.76;18851513891.07;19271168018.48;20002968837.95;21410840908.52;21185922407.59;24880266905.50;1.0000
Netherlands;;;;;;;;;;;;;;;;;;;;;;;;1.0000
New Zealand;63918703506.91;70140835299.01;66075143415.50;56227169851.04;58762260625.88;52623281956.70;53872425916.62;66627729311.45;88250885550.26;103905210084.03;114720129550.10;111608845081.38;137316087308.00;133280382371.55;121338622025.11;146583831538.33;168461998741.30;176193696737.93;190784384693.44;200834001603.85;177208110322.70;187854022728.46;202590814084.99;1.0000
Nicaragua;4140470000.00;4308351902.79;4389965590.97;4635267224.84;4855717874.68;5107329007.09;5323146565.70;5224213017.54;5322454925.85;5795568204.65;6321335612.22;6763671610.70;7423377429.06;8496965842.28;8298695144.92;8758622328.67;9774316692.16;10532001129.67;10982972256.38;11880438824.45;12756717322.76;13286093197.48;13843586679.54;1.0000
Niger;1880803361.69;1987770898.54;1845599608.44;2076737356.68;2018193703.06;1798374468.36;1945327564.65;2170481508.87;2731416346.48;3052898739.47;3405134831.85;3646728060.06;4291363390.91;5379299887.70;5373097440.57;5718664504.91;6409184724.23;6942258305.19;7667952566.39;8229731383.76;7217667780.60;7528285443.61;8119710126.33;1.0000
Nigeria;44062465800.17;51075815092.50;54457835193.49;54604050168.18;59372613485.66;69448756932.58;74030364472.05;95385819320.57;104911947834.12;136385979322.44;176134087150.34;236103982431.64;275625684968.62;337035512676.94;291880204327.42;363359886203.41;410334579160.75;459376049764.00;514966287334.28;568498937615.66;494583180777.10;404649527537.75;375745486520.66;1.0000
North Macedonia;;;;;;;;;4946292774.79;5682719260.08;6258600713.83;6861222331.96;8336478142.09;9909548410.83;9401731495.72;9407168702.43;10494632699.39;9745251126.01;10817712138.95;11362272837.88;10064515432.03;10672471860.72;11279509013.91;1.0000
Norway;152027402449.80;163517783497.16;161354369892.84;154165219811.53;162286003692.69;171315639982.73;174003247439.31;195418347152.99;228752436371.85;264357494659.39;308722079937.91;345424664369.36;401082621082.62;462554432624.11;386622457579.95;429130952709.22;498831558925.86;510229136226.90;523502127659.57;499338534779.16;386663139402.71;371344761904.76;399488897844.05;1.0000
Oman;;;;;;19507412223.67;19452015604.68;20142782834.85;21633810143.04;24763589076.72;31081924577.37;37215864759.43;42085305591.68;60905331599.48;48388296488.95;58642392717.82;67937581274.38;76689206762.03;78784395318.60;81076723016.91;68921456436.93;65941482444.73;70783875162.55;1.0000
Pakistan;60636022422.62;63320122807.12;62433300338.09;62191955814.35;62973855718.89;73952374969.80;72309738921.33;72306820396.23;83244801092.71;97977766197.67;109502102510.88;137264061106.04;152385716311.92;170077814106.31;168152775283.03;177406854514.89;213587413184.00;224383620829.57;231218567178.98;244360888750.81;270556126820.06;278654637737.69;304951818494.07;1.0000
Panama;;;10677286100.00;11575486400.00;12130252200.00;12304115000.00;12502013400.00;12994310400.00;13693981200.00;15013381700.00;16374393900.00;18141666300.00;21295984200.00;25155888600.00;27116635600.00;29440300000.00;34686200000.00;40429700000.00;45600000000.00;49921500000.00;54091700000.00;57957600000.00;62283800000.00;1.0000
Papua New Guinea;4636057476.43;5155311077.39;4936615298.79;3789443014.62;3477038204.02;3521339699.07;3081024212.43;2999511040.20;3536411824.30;3927157866.96;4865892972.28;8306343442.27;9545071324.99;11670678863.75;11619541940.40;14250726289.85;17984816533.11;21295834133.23;21261305413.23;23210611846.92;21723378124.55;20759048834.98;22277692408.89;1.0000
Paraguay;9062131475.02;9788391780.52;9965225678.05;9260481572.42;8837070235.52;8855705139.56;8495806432.18;7196260656.85;7691367471.18;9624440836.29;10737500188.11;13429430050.26;17856270473.15;24578067861.40;22341754513.96;27215968615.55;33715524703.93;33283228891.09;38585317742.98;40276532540.88;36164068797.25;36054281572.40;39008900331.67;1.0000
Peru;53312793687.38;55252414130.30;58147522522.52;55501467877.38;50187324567.88;51744749133.21;52030158775.41;54777553515.08;58731030121.87;66768703497.57;76060606060.61;88643193061.75;102170981144.14;120550599815.44;120822986521.48;147528937028.78;171761737046.59;192648999090.08;201175469114.33;200983797111.66;189759138299.21;191907499037.07;210702303186.43;1.0000
Philippines;74119987244.50;82848140618.03;82344260570.67;72207028767.76;82995145792.93;81026300310.01;76262072467.38;81357605641.85;83908206647.93;91371242495.08;103071582125.97;122210716311.05;149359918060.00;174195136253.39;168334601260.08;199590775190.26;224143083706.78;250092092998.14;271836123723.68;284584522898.87;292774099013.69;304897590205.41;313619747740.19;1.0000
Poland;142137319587.63;159943251363.08;159117494587.26;174388559590.26;169717677900.73;171886058765.33;190521019077.16;198680882352.94;217513049291.61;;;;;;;;;;;;;;;1.0000
Portugal;;;;;;;;;;;;;;;;;;;;;;;;1.0000
Qatar;8137911978.02;9059340384.62;11297802115.38;10255495027.47;12393131868.13;17759890109.89;17538461538.46;19363736263.74;23533791208.79;31734065934.07;44530494505.49;60882142857.14;79712087912.09;115270054945.06;97798351648.35;125122306346.15;167775274725.28;186833516483.52;198727747252.75;206224725274.73;161739835164.84;151732142857.14;166928571428.57;1.0000
Romania;37435317265.13;36937074278.30;35574916294.64;41694118972.51;35952781582.21;37253259017.00;40394824679.12;46066101951.29;57806506024.10;74972669056.59;98452791982.70;122022997508.01;;;;;;;;;;;;1.0000
Russia;;;;;;;;;;;;;;;;;;2210256976944.74;2297128039058.16;2059984158384.60;1363594369511.40;1282723881083.71;1578624060588.26;1.0000
Rwanda;1293535010.94;1382334879.41;1851558301.70;1989343495.22;1898608710.08;1813938652.72;1749262232.56;1749314001.11;1923071486.36;2174623213.48;2685133230.53;3116128156.39;3811474435.74;4867560259.36;5373088996.59;5783152633.48;6563320570.41;7334917696.72;7621923307.70;8016591927.66;8277613193.58;8475681532.52;9135454442.14;1.0000
Samoa;;;;;;;;;;;;;;;;;;801168622.34;804808525.54;805162576.42;804100573.41;786640012.24;841538413.00;1.0000
Saudi Arabia;;;;;;;;;;;328459608764.11;376900133511.35;415964509673.12;519796800000.00;429097866666.67;528207200000.00;671238840106.67;735974843360.00;746647127413.33;756350347333.33;654269902880.00;644935541440.00;688586133333.33;1.0000
Senegal;6176312552.14;6413189839.20;5915250258.28;6368265193.70;6512207622.20;5924239700.82;6174898370.14;6752510282.96;8683229268.12;10167441854.47;11022821631.87;11847848224.89;14285970085.05;16949789464.60;16248212852.28;16215069255.55;17878780184.87;17825417949.42;18960182371.39;19770840285.99;17767704596.93;19027392875.85;21081669870.06;1.0000
Seychelles;;;;;;;;;;;;;;;;;;;;;1377495054.04;1427524565.30;1503168689.82;1.0000
Sierra Leone;870758739.41;941742152.71;850218033.62;672375927.35;669384768.87;635874002.20;1090467712.31;1253340519.53;1385810072.19;1448536630.88;1650494367.00;1885112201.85;2158496872.86;2505458705.03;2453899846.88;2578026297.16;2942546781.05;3801862611.36;4920343194.99;5015157815.73;4218723875.14;3674794530.19;3739577973.24;1.0000
Singapore;87810991957.10;96295886524.82;100124191810.35;85728310229.45;86284660766.96;96074477958.24;89794943349.89;92537752708.59;97645448283.78;115035498757.54;127807618360.97;148630373214.17;180941941477.01;193611986712.84;194152286008.94;239809387605.43;279351168707.27;295087220933.02;307576360584.99;314851156183.41;308004146057.61;318068476293.88;338406474038.67;1.0000
Slovakia;25733043137.25;27821913814.96;27660149541.18;29828899205.73;30415095887.49;29114875621.89;30703017449.66;35083608131.00;46731767494.36;;;;;;;;;;;;;;;1.0000
Slovenia;21273055398.30;21480023017.00;20749140606.24;22125435372.19;22689994990.11;20342201356.01;20875387068.11;23563576758.10;29697448108.30;;;;;;;;;;;;;;;1.0000
Solomon Islands;519334096.71;565163750.56;567919502.81;471177008.06;482214092.31;435103853.49;400463452.07;341661643.55;332738245.91;375111894.93;413909879.28;456705434.00;516074228.96;608229326.66;597765363.13;681151189.96;932725578.76;1063879451.23;1129787201.76;1172268295.93;1154650066.30;1232699140.37;1321131090.74;1.0000
South Africa;155460285076.23;147607982694.86;152586154513.89;137774361015.14;136631966609.38;136361854808.50;121600818309.68;115482368343.66;175256916996.05;228593566165.09;257671413750.83;271638484826.11;299415505152.30;286769839732.73;295936485832.64;375349442837.24;416418874936.30;396327875200.97;366643223167.03;350636208160.18;317536830643.71;295746599723.99;348871647962.32;1.0000
Spain;;;;;;;;;;;;;;;;;;;;;;;;1.0000
Sri Lanka;13029697560.98;13897738375.25;15091913883.71;15794972847.17;15656327859.57;16330814179.98;15749753804.83;16536535647.08;18881765437.22;20662525941.30;24405791044.78;28279814924.59;32350248410.82;40713812309.73;42066217871.53;56725749221.90;65292753005.47;68434409315.11;74317806538.36;79356449840.58;80604080688.58;82401038709.54;88019706803.83;1.0000
St Kitts and Nevis;313483384.81;333946095.56;374640295.11;383257144.92;406597034.44;433520494.94;475443712.23;497328946.72;486344351.02;529250459.26;577730934.07;657227386.67;723938700.37;793368441.01;767066391.82;766785071.24;818728133.00;800392821.22;849496203.91;916857359.53;936314411.47;958973183.22;992007403.13;1.0000
St Lucia;682370000.00;705672777.78;721068259.26;784752481.48;824732888.89;834327296.30;798333814.81;805069148.15;883314333.33;954317407.41;1015934666.67;1134567222.22;1279428222.22;1286720333.33;1278745518.52;1399203481.48;1444269666.67;1437879370.37;1481132148.15;1542406296.30;1640925666.67;1688244703.70;1810139888.89;1.0000
St Vincent and the Grenadines;316008481.48;331489703.70;347770000.00;373619851.85;390719148.15;396261370.37;430039296.30;461883444.44;481806296.30;521975111.11;550728666.67;610930037.04;684446259.26;695428851.85;674922481.48;681225962.96;676129407.41;692933740.74;721208998.23;727714407.11;755458031.42;770762204.08;785222509.14;1.0000
Suriname;691590497.74;861411471.32;926422500.00;1110850000.00;886290697.67;947671969.70;834279357.80;1093574468.09;1274190311.42;1484092538.41;1793388732.29;2626493056.82;2936440801.46;3532961748.63;3875555555.56;4368398047.64;4422276621.79;4980000000.00;5145757575.76;5240606060.61;4787367928.12;3167164370.81;3068766109.75;1.0000
Sweden;;;;;;;;;;;;;;;;;;;;;;;;1.0000
Switzerland;342617007103.59;330091688349.52;286519135326.95;295045152020.97;289912492344.56;272055499940.79;278631271391.33;301416810214.30;352914820747.01;394163688620.83;408689353999.36;430921192375.18;479913034321.89;554363487120.30;541506500413.57;583782977866.41;699579638638.23;668043614122.87;688504173431.45;709182559935.30;679832291693.26;670181065629.16;678965423322.02;1.0000
Taiwan;279270000000.00;292687000000.00;303706000000.00;280407000000.00;304174000000.00;331407000000.00;300422000000.00;308884000000.00;318597000000.00;348521000000.00;375787000000.00;388547000000.00;408221000000.00;417038000000.00;392106000000.00;446141000000.00;485671000000.00;495919000000.00;511599000000.00;530515000000.00;525601000000.00;531357000000.00;574895000000.00;1.0000
Tajikistan;;;;;;;;;;;;;;;;;;;8448469837.54;9112544556.06;7854602391.65;6952678127.03;7157865188.25;1.0000
Tanzania;5255221424.81;6496195450.61;7683852496.84;12270448700.20;12711213451.03;13375976353.70;13581644245.74;14142035080.28;15224257698.48;16675948414.76;18399046025.27;18649590248.26;21843529024.92;27941177434.51;29081425282.29;32014249841.42;34657139495.40;39650530214.33;45680532613.76;49964788814.09;47378599025.30;49774021003.07;53320625958.56;1.0000
Thailand;169278552851.27;183035154107.49;150180268649.39;113675706127.27;126668932159.51;126392308497.75;120296746256.63;134300851255.00;152280653543.73;172895476152.59;189318499954.00;221758486880.31;262942650543.77;291383081231.82;281710095724.76;341105009515.33;370818747396.83;397558094269.88;420333333333.33;407339361695.58;401295970240.34;412352789519.61;455275517239.35;1.0000
Togo;1309382885.33;1465448290.34;1498950899.09;1587345950.97;1576094566.49;1488185772.48;1481141849.98;1698678686.38;2111093197.99;2255942249.33;2280575830.08;2349495620.59;2659095101.10;3310277926.59;3365711796.38;3426022205.76;3867391618.09;3873529926.23;4320427495.75;4568900619.92;4179185205.16;4414908596.54;4765866980.38;1.0000
Tonga;;;;;;;;;;;;;300143056.87;349484427.61;318166562.78;369485198.82;423011844.33;472358251.22;450686353.67;443911052.25;435438217.28;401109307.36;430174168.74;1.0000
Tunisia;18030876599.34;19587322786.11;20746360430.42;21803372266.62;22943685719.10;21473188881.59;22066101341.49;23142294436.24;27453084982.54;31183139301.49;32273007553.57;34378437265.21;38908069299.20;44856586316.05;43454935940.16;44050929160.26;45810626509.45;45044112939.37;46251061734.47;47632326088.24;43152528548.12;41808379888.27;39952095560.88;1.0000
Turkey;169485941048.04;181475555282.56;189834649111.26;275768693191.09;255884300638.53;272979390333.74;200251925227.88;238428125942.40;311823003788.62;404786739602.81;501416301536.12;552486912921.99;675770112179.99;764335657637.62;644639901973.70;771901768870.08;832523680908.06;873982246611.95;950579413122.56;934185915386.10;859796872677.61;863721648068.81;851549231502.62;1.0000
Uganda;5755818947.42;6044585326.94;6269333313.17;6584815846.53;5998563257.95;6193246837.10;5840503868.57;6178563590.89;6336696288.98;7940362799.18;9013834373.41;9942597779.99;12292813603.23;14239026629.64;18168902153.88;20186496527.13;20176025256.92;23114293416.39;24599550623.73;27291879819.36;27102650386.60;24133664284.51;25995031850.15;1.0000
Ukraine;;;;;;;;;;;;;;179816790704.74;117113410001.03;136013155905.04;163159671670.27;175781379051.43;183310146378.08;133503411375.74;91030959454.70;93355993628.50;112190355158.18;1.0000
United Arab Emirates;65743666575.86;73571233996.19;78839008444.57;75674336283.19;84445473110.96;104337372362.15;103311640571.82;109816201497.62;124346358066.71;147824370319.95;180617018379.85;222116541865.21;257916133424.10;315474615738.60;253547358747.45;289787338325.39;350666031313.82;374590605854.32;390107556160.65;403137100068.07;358135057862.49;357045064669.84;382575085091.90;1.0000
United Kingdom;;;;;;;;;;;;;;;;;;;;;;;;1.0000
United States;7639749000000.00;8073122000000.00;8577554463000.00;9062818211000.00;9630664202000.00;10252345464000.00;10581821399000.00;10936419054000.00;11458243878000.00;12213729147000.00;13036640229000.00;13814611414000.00;14451858650000.00;14712844084000.00;14448933025000.00;14992052727000.00;15542581104000.00;16197007349000.00;16784849190000.00;17521746534000.00;18219297584000.00;18707188235000.00;19485393853000.00;1.0000
Uruguay;19297663096.55;20515543039.21;23969823010.44;25385928198.32;23983945190.62;22823255801.84;20898788416.63;13606494599.43;12045631092.54;13686329890.12;17362857683.85;19579457966.05;23410572634.31;30366213119.29;31660911277.03;40284481651.90;47962439303.72;51264390116.49;57531233350.91;57236013086.12;53274304222.14;52687612261.54;56488991831.02;1.0000
Vanuatu;;;;;;;;;;;;;;;;;;781702874.11;801787555.86;814954306.97;737917151.42;787942567.41;849708342.70;1.0000
Venezuela;77407726244.34;70543211119.10;85843534588.62;91331203433.16;97976886247.32;117140723529.41;122903960204.51;92893587733.65;83620628582.11;112453382329.62;145510008134.75;183477522123.89;230364012575.69;315953388510.68;329787628928.47;393192354510.65;316482190800.36;381286237847.67;371005379786.57;482359318767.70;323595000000.00;279249000000.00;143841000000.00;1.0000
Vietnam;;;;;;;;;;;;;77414425532.25;99130304099.13;106014659770.22;115931749697.24;135539438559.71;155820001920.49;171222025117.38;186204652922.26;193241108709.54;205276172134.90;223779865815.18;1.0000
Zambia;3807067121.86;3597220962.00;4303281932.29;3537683046.02;3404311976.55;3600683039.73;4094480988.12;4193845678.17;4901839731.27;6221077674.78;8331870169.15;12756858899.28;14056957976.26;17910858637.90;15328342303.96;20265556273.58;23460098339.75;25503370699.20;28045460442.19;27150630607.20;21154394545.90;20954754378.14;25868142076.79;1.0000
Zimbabwe;7111270700.00;8553146600.00;8529571600.00;6401968200.00;6858013100.00;6689957600.00;6777384700.00;6342116400.00;5727591800.00;5805598400.00;5755215200.00;5443896500.00;5291950100.00;4415702800.00;9665793300.00;12041655200.00;14101920300.00;17114849900.00;19091020000.00;19495519600.00;19963120600.00;20548678100.00;22813010116.13;1.0000
;;;;;;;;;;;;;;;;;;;;;;;;
