;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Cambodia;;;;;;;;;;5337833248.04;6293046161.83;7274595706.67;8639235842.18;10351914093.17;10401851850.61;11242275198.98;12829541141.01;14054443213.46;15227991395.22;16702610842.40;18049954289.42;20016747754.02;22177200511.58;1.0000
Cameroon;9643953174.77;10513387441.62;10833497457.51;10612847429.35;11198378749.47;10083937740.06;10371327756.45;11579343088.16;14548845764.53;17430933517.30;17944084201.49;19356046327.90;22365265025.66;26409781215.18;26017925551.84;26143818509.64;29337006833.08;29104437355.04;32348149947.37;34942948737.40;30916218544.44;32621535418.90;34922782310.64;1.0000
Canada;604031623433.40;628546387972.13;652823920265.78;631813279406.81;676084000807.70;742295468318.63;736379777892.56;757950678646.53;892382413817.72;1023196771714.07;1169357979864.66;1315415197461.21;1464977190205.75;1549131208997.19;1371153004986.44;1613542812589.39;1789140665202.84;1823966686523.63;1842018420853.10;1801480123070.82;1552899925233.71;1526705529135.32;1646867220617.47;1.0000
Cape Verde;;;;;;;;;;;;;;1789333748.68;1711817181.53;1664310769.55;1864824080.69;1751888561.73;1850470042.43;1859898513.27;1596800287.16;1662998677.88;1771235958.20;1.0000
Central African Republic;1115389731.79;1007791186.20;937741468.03;967338348.66;999477510.69;914500299.10;931833302.75;991387870.12;1139754799.16;1270080250.65;1337362392.15;1460561215.44;1697565948.65;1985240986.19;2059094048.26;2140503193.16;2434792412.51;2510270267.73;1700627479.56;1904794555.18;1709221159.20;1844714794.84;2167501639.77;1.0000
Chad;1445919969.89;1607345450.05;1544689502.82;1744794457.28;1534673583.25;1385058161.77;1709347793.33;1987622279.11;2736666515.83;4414929220.00;6646663561.27;7422102655.99;8638711442.77;10351932604.42;9253484108.50;10657705536.50;12156380425.08;12368071038.74;12949854262.81;13922223233.52;10945989471.63;10090922857.39;9975692095.41;1.0000
Chile;73447063319.30;78039572221.60;84952360922.47;81577430181.41;75173794497.03;77860932151.85;70979923960.37;69736811435.10;75643459839.60;99210392857.61;122964812046.07;154788024805.81;173605968179.26;179638496278.57;172389498444.62;218537551220.07;252251992029.44;267122320056.70;278384332694.36;260541637327.86;243919079437.22;250339876460.23;277746457909.87;1.0000
China;;;;;;;1339395718865.30;1470550015081.55;1660287965662.68;1955347004963.27;2285965892360.54;2752131773355.16;3550342425238.25;4594306848763.08;5101702432883.45;6087164527421.24;7551500425597.77;8532230724141.76;9570405758739.79;10438529153237.60;11015542352468.90;11137945669350.60;12143491448186.10;1.0000
Colombia;92507279383.04;97160109277.81;106659508271.26;98443739941.17;86186158684.77;99886577330.73;98211749595.54;97963003804.79;94641378693.22;117081522349.68;145180960625.02;161189825603.14;205706860699.30;241710969502.89;232494134119.68;286103648654.55;334454039093.59;370574421703.06;381866608838.80;381112119657.45;293481748240.78;282825009887.46;311789874617.10;1.0000
DR Congo;5643439376.10;5771454939.62;6090840548.19;6215591269.90;4711259427.27;19088046305.80;7438189100.33;8728038525.14;8937567059.88;10297483481.22;11964484667.91;14451902467.93;16737071816.42;19788515873.97;18648373312.39;21565720044.45;25839749198.78;29306235826.38;32679745297.65;35909040265.95;37917704900.12;37134799974.47;38019265625.86;1.0000
Congo;2116003977.98;2540697688.06;2322718991.26;1949481296.61;2353909563.94;3219910550.39;2794259783.08;3019993738.77;3495868808.05;4648628921.37;6087003176.12;7731261310.93;8394688284.06;11859013281.00;9593537550.75;12007880438.62;14425607179.66;13677930123.59;14085851348.07;14177437982.26;8553154580.40;9035848070.90;8701334800.22;1.0000
Costa Rica;11513472785.72;11618286652.04;12552071488.01;13617405297.06;14195623342.76;14949514493.42;15913363440.51;16504795592.93;17196009811.16;18528955524.52;19948261084.34;22602721765.36;26743972911.91;30612927861.22;30562363429.76;37268616183.97;42262694503.96;46473131798.89;49745084869.71;50577769785.08;54775997555.62;57157995872.68;58174550211.55;1.0000
Cote d Ivoire;11000146839.50;12139234938.79;11722142706.13;12612033728.86;12376639822.93;10717022462.69;11192560719.35;12346919152.16;15306602195.12;16554441554.94;17084927539.85;17800887469.32;20343636058.73;24224905503.65;24277494337.40;24884503950.68;25381615976.08;26790577891.29;31264184740.61;35316494573.68;33131113901.48;35296979104.02;38053610009.42;1.0000
Croatia;;;;;;21774273832.10;23289671102.32;26868450817.49;34667270723.34;41523418159.52;45347181469.78;50404444703.38;60121906684.07;70494603466.45;62779128128.37;59865977191.71;62399478246.22;56548374544.90;;;;;;1.0000
Cuba;30429803651.22;25017368696.85;25365908058.72;25736331247.18;28364615241.69;30565400000.00;31682400000.00;33590500000.00;35901200000.00;38203000000.00;42643836074.80;52742800000.00;58603900000.00;60806300000.00;62080000000.00;64328000000.00;68990000000.00;73141000000.00;77148000000.00;80656000000.00;87133000000.00;91370000000.00;96851000000.00;1.0000
Cyprus;9933143596.38;10011919698.87;9547822120.87;10248619909.50;10497907227.62;9985843543.83;10397896174.86;11420230769.23;14547327293.32;;;;;;;;;;;;;;;1.0000
Czechia;59775697061.04;66985765439.19;61792161168.00;66490372105.13;64867483193.13;61649492816.52;67523642262.40;81910771993.92;99627140274.38;;;;;;;;;;;;;;;1.0000
Denmark;;;;;;;;;;;;;;;;;;;;;;;;1.0000
Djibouti;497723960.59;494004647.73;502675542.00;514267869.30;536080148.10;551230861.86;572417440.82;591122039.60;622044665.52;666072101.78;708633194.73;768873684.03;847918929.11;999105339.27;1049110684.72;1128611700.36;1239144501.78;1353632941.52;1324733711.83;1455035088.75;1633741922.69;1764268468.94;1844674434.50;1.0000
Dominica;274522148.15;292286000.00;302989185.19;322409851.85;331759000.00;333468888.89;340205074.07;333195185.19;343310666.67;367199111.11;364255074.07;390250148.15;421375851.85;458190185.19;489074333.33;493824413.33;501025303.33;485997988.15;501979134.44;523540777.78;540830670.00;575468234.44;496726248.52;1.0000
Dominican Republic;16598679279.07;18241691857.35;20017908829.33;21672526562.79;22137599986.11;24305116729.19;25599311449.38;27362875602.50;21642882856.42;22692574473.35;36119047252.18;38116351526.29;44169678153.16;48288967303.49;48376555305.69;53982886258.22;57811180659.45;60657780260.68;62661773591.72;66065015410.05;68802092020.94;72342967648.34;75931656814.66;1.0000
Ecuador;24432884442.22;25226393196.60;28162053026.51;27981896948.47;19645272636.32;18327764882.44;24468324000.00;28548945000.00;32432858000.00;36591661000.00;41507085000.00;46802044000.00;51007777000.00;61762635000.00;62519686000.00;69555367000.00;79276664000.00;87924544000.00;95129659000.00;101726331000.00;99290381000.00;99937696000.00;104295862000.00;1.0000
Egypt;60159245060.45;67629716981.13;78436578171.09;84828807556.08;90710704806.84;99838543960.08;97632008709.85;87850683978.67;82924503942.64;78845185293.50;89685725230.25;107484034870.97;130478960092.50;162818181818.18;188982374700.81;218888324504.75;236001858960.02;279372758361.83;288586231501.88;305529656458.44;332698041030.81;332927833278.04;235369129337.71;1.0000
El Salvador;8921947100.00;9586327800.00;10221705900.00;10936669900.00;11284197000.00;11784927700.00;12282533600.00;12664190300.00;13243892200.00;13724810900.00;14698001400.00;15999886400.00;17011750900.00;17986886200.00;17601616000.00;18447920000.00;20283780000.00;21386160000.00;21990970000.00;22593470000.00;23438240000.00;24154120000.00;24927970000.00;1.0000
Estonia;4373665145.55;4746109767.20;5066240419.30;5617109244.63;5726897998.30;5685774808.81;6245069734.13;7322069511.16;9833870709.12;;;;;;;;;;;;;;;1.0000
